awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
Cy Young Award,2000,NL,brownke01,4,160,0.0
Cy Young Award,2000,AL,clemero02,1,140,0.0
Cy Young Award,2000,NL,glavito02,64,160,4.0
Cy Young Award,2000,AL,hudsoti01,54,140,0.0
Cy Young Award,2000,NL,johnsra05,133,160,22.0
Cy Young Award,2000,AL,jonesto02,3,140,0.0
Cy Young Award,2000,NL,kileda01,8,160,1.0
Cy Young Award,2000,NL,maddugr01,59,160,3.0
Cy Young Award,2000,AL,martipe02,140,140,28.0
Cy Young Award,2000,AL,mussimi01,1,140,0.0
Cy Young Award,2000,NL,nenro01,20,160,2.0
Cy Young Award,2000,AL,pettian01,7,140,0.0
Cy Young Award,2000,AL,wellsda01,46,140,0.0
Cy Young Award,2001,AL,clemero02,122,140,21.0
Cy Young Award,2001,AL,garcifr02,55,140,4.0
Cy Young Award,2001,AL,hudsoti01,1,140,0.0
Cy Young Award,2001,NL,johnsra05,156,160,30.0
Cy Young Award,2001,NL,liebejo01,2,160,0.0
Cy Young Award,2001,NL,morrima01,31,160,0.0
Cy Young Award,2001,AL,moyerja01,12,140,1.0
Cy Young Award,2001,AL,muldema01,60,140,2.0
Cy Young Award,2001,AL,mussimi01,2,140,0.0
Cy Young Award,2001,NL,oswalro01,1,160,0.0
Cy Young Award,2001,NL,schilcu01,98,160,2.0
Cy Young Award,2002,NL,colonba01,1,160,0.0
Cy Young Award,2002,NL,gagneer01,8,160,0.0
Cy Young Award,2002,NL,johnsra05,160,160,32.0
Cy Young Award,2002,AL,lowede01,41,140,0.0
Cy Young Award,2002,AL,martipe02,96,140,11.0
Cy Young Award,2002,NL,oswalro01,8,160,0.0
Cy Young Award,2002,NL,schilcu01,90,160,0.0
Cy Young Award,2002,NL,smoltjo01,21,160,0.0
Cy Young Award,2002,AL,washbja01,1,140,0.0
Cy Young Award,2002,AL,zitoba01,114,140,17.0
Cy Young Award,2003,AL,foulkke01,1,140,0.0
Cy Young Award,2003,NL,gagneer01,146,160,28.0
Cy Young Award,2003,AL,hallaro01,136,140,26.0
Cy Young Award,2003,AL,hudsoti01,15,140,0.0
Cy Young Award,2003,AL,loaizes01,63,140,2.0
Cy Young Award,2003,AL,martipe02,20,140,0.0
Cy Young Award,2003,AL,moyerja01,12,140,0.0
Cy Young Award,2003,NL,ortizru01,9,160,0.0
Cy Young Award,2003,AL,pettian01,4,140,0.0
Cy Young Award,2003,NL,priorma01,60,160,2.0
Cy Young Award,2003,AL,santajo01,1,140,0.0
Cy Young Award,2003,NL,schmija01,73,160,2.0
Cy Young Award,2004,NL,clemero02,140,160,23.0
Cy Young Award,2004,NL,gagneer01,3,160,0.0
Cy Young Award,2004,NL,johnsra05,97,160,8.0
Cy Young Award,2004,NL,lidgebr01,1,160,0.0
Cy Young Award,2004,AL,martipe02,1,140,0.0
Cy Young Award,2004,AL,nathajo01,1,140,0.0
Cy Young Award,2004,NL,oswalro01,19,160,1.0
Cy Young Award,2004,NL,pavanca01,6,160,0.0
Cy Young Award,2004,AL,riverma01,27,140,0.0
Cy Young Award,2004,AL,rodrifr03,1,140,0.0
Cy Young Award,2004,AL,santajo01,140,140,28.0
Cy Young Award,2004,AL,schilcu01,82,140,0.0
Cy Young Award,2004,NL,schmija01,13,160,0.0
Cy Young Award,2004,NL,sheetbe01,1,160,0.0
Cy Young Award,2004,NL,zambrca01,8,160,0.0
Cy Young Award,2005,AL,buehrma01,5,140,0.0
Cy Young Award,2005,NL,carpech01,132,160,19.0
Cy Young Award,2005,NL,clemero02,40,160,2.0
Cy Young Award,2005,AL,colonba01,118,140,17.0
Cy Young Award,2005,NL,cordech01,1,160,0.0
Cy Young Award,2005,AL,garlajo01,1,140,0.0
Cy Young Award,2005,AL,leecl02,8,140,0.0
Cy Young Award,2005,AL,millwke01,1,140,0.0
Cy Young Award,2005,NL,oswalro01,2,160,0.0
Cy Young Award,2005,NL,pettian01,1,160,0.0
Cy Young Award,2005,AL,riverma01,68,140,8.0
Cy Young Award,2005,AL,santajo01,51,140,3.0
Cy Young Award,2005,NL,willido03,112,160,11.0
Cy Young Award,2006,NL,carpech01,63,160,2.0
Cy Young Award,2006,AL,hallaro01,48,140,0.0
Cy Young Award,2006,NL,hoffmtr01,77,160,12.0
Cy Young Award,2006,AL,nathajo01,3,140,0.0
Cy Young Award,2006,NL,oswalro01,31,160,3.0
Cy Young Award,2006,AL,rodrifr03,5,140,0.0
Cy Young Award,2006,AL,rogerke01,3,140,0.0
Cy Young Award,2006,NL,saitota01,1,160,0.0
Cy Young Award,2006,AL,santajo01,140,140,28.0
Cy Young Award,2006,NL,smoltjo01,3,160,0.0
Cy Young Award,2006,AL,verlaju01,2,140,0.0
Cy Young Award,2006,NL,wagnebi02,4,160,0.0
Cy Young Award,2006,AL,wangch01,51,140,0.0
Cy Young Award,2006,NL,webbbr01,103,160,15.0
Cy Young Award,2006,NL,zambrca01,6,160,0.0
Cy Young Award,2007,AL,beckejo02,86,140,8.0
Cy Young Award,2007,AL,bedarer01,1,140,0.0
Cy Young Award,2007,AL,carmofa01,7,140,0.0
Cy Young Award,2007,NL,francje01,1,160,0.0
Cy Young Award,2007,AL,hallaro01,1,140,0.0
Cy Young Award,2007,NL,hamelco01,2,160,0.0
Cy Young Award,2007,NL,haranaa01,10,160,0.0
Cy Young Award,2007,AL,lackejo01,36,140,1.0
Cy Young Award,2007,NL,peavyja01,160,160,32.0
Cy Young Award,2007,NL,pennybr01,14,160,0.0
Cy Young Award,2007,AL,sabatcc01,119,140,19.0
Cy Young Award,2007,AL,santajo01,1,140,0.0
Cy Young Award,2007,NL,smoltjo01,2,160,0.0
Cy Young Award,2007,NL,valvejo01,2,160,0.0
Cy Young Award,2007,AL,verlaju01,1,140,0.0
